case_id,route_id,trip_id,start_stop,end_stop,first_arrival,last_departure,duration_seconds,duration_label,event_count
FRG-1::170081-0,FRG-1,170081-0,PIMS,Barakahu,2026-04-23T14:55:00+05:00,2026-04-23T15:25:00+05:00,1800,30 min 0 sec,10
FRG-1::170082-0,FRG-1,170082-0,PIMS,Barakahu,2026-04-23T15:00:00+05:00,2026-04-23T15:30:00+05:00,1800,30 min 0 sec,10
FRG-1::170083-0,FRG-1,170083-0,PIMS,Barakahu,2026-04-23T15:05:00+05:00,2026-04-23T15:35:00+05:00,1800,30 min 0 sec,10
FRG-1::170084-0,FRG-1,170084-0,PIMS,Barakahu,2026-04-23T15:10:00+05:00,2026-04-23T15:40:00+05:00,1800,30 min 0 sec,10
FRG-1::170085-0,FRG-1,170085-0,PIMS,Barakahu,2026-04-23T15:15:00+05:00,2026-04-23T15:45:00+05:00,1800,30 min 0 sec,10
FRG-1::170086-0,FRG-1,170086-0,PIMS,Barakahu,2026-04-23T15:20:00+05:00,2026-04-23T15:50:00+05:00,1800,30 min 0 sec,10
FRG-1::170087-0,FRG-1,170087-0,PIMS,Barakahu,2026-04-23T15:25:00+05:00,2026-04-23T15:55:00+05:00,1800,30 min 0 sec,10
FRG-1::170088-0,FRG-1,170088-0,PIMS,Barakahu,2026-04-23T15:30:00+05:00,2026-04-23T16:00:00+05:00,1800,30 min 0 sec,10
FRG-1::170089-0,FRG-1,170089-0,PIMS,Barakahu,2026-04-23T15:35:00+05:00,2026-04-23T16:05:00+05:00,1800,30 min 0 sec,10
FRG-1::170090-0,FRG-1,170090-0,PIMS,Barakahu,2026-04-23T15:40:00+05:00,2026-04-23T16:10:00+05:00,1800,30 min 0 sec,10
FRG-1::170091-0,FRG-1,170091-0,PIMS,Barakahu,2026-04-23T15:45:00+05:00,2026-04-23T16:15:00+05:00,1800,30 min 0 sec,10
FRG-1::170092-0,FRG-1,170092-0,PIMS,Barakahu,2026-04-23T15:50:00+05:00,2026-04-23T16:20:00+05:00,1800,30 min 0 sec,10
FRG-1::170093-0,FRG-1,170093-0,PIMS,Barakahu,2026-04-23T15:55:00+05:00,2026-04-23T16:25:00+05:00,1800,30 min 0 sec,10
FRG-1::170094-0,FRG-1,170094-0,PIMS,Barakahu,2026-04-23T16:00:00+05:00,2026-04-23T16:30:00+05:00,1800,30 min 0 sec,10
FRG-1::170095-0,FRG-1,170095-0,PIMS,Barakahu,2026-04-23T16:05:00+05:00,2026-04-23T16:35:00+05:00,1800,30 min 0 sec,10
FRG-1::170096-0,FRG-1,170096-0,PIMS,Barakahu,2026-04-23T16:10:00+05:00,2026-04-23T16:40:00+05:00,1800,30 min 0 sec,10
FRG-1::170097-0,FRG-1,170097-0,PIMS,Barakahu,2026-04-23T16:15:00+05:00,2026-04-23T16:45:00+05:00,1800,30 min 0 sec,10
FRG-1::170098-0,FRG-1,170098-0,PIMS,Barakahu,2026-04-23T16:20:00+05:00,2026-04-23T16:50:00+05:00,1800,30 min 0 sec,10
FRG-1::170099-0,FRG-1,170099-0,PIMS,Barakahu,2026-04-23T16:25:00+05:00,2026-04-23T16:55:00+05:00,1800,30 min 0 sec,10
FRG-1::170100-0,FRG-1,170100-0,PIMS,Barakahu,2026-04-23T16:30:00+05:00,2026-04-23T17:00:00+05:00,1800,30 min 0 sec,10
FRG-1::170101-0,FRG-1,170101-0,PIMS,Barakahu,2026-04-23T16:35:00+05:00,2026-04-23T17:05:00+05:00,1800,30 min 0 sec,10
FRG-1::170102-0,FRG-1,170102-0,PIMS,Barakahu,2026-04-23T16:40:00+05:00,2026-04-23T17:10:00+05:00,1800,30 min 0 sec,10
FRG-1::170103-0,FRG-1,170103-0,PIMS,Barakahu,2026-04-23T16:45:00+05:00,2026-04-23T17:15:00+05:00,1800,30 min 0 sec,10
FRG-1::170104-0,FRG-1,170104-0,PIMS,Barakahu,2026-04-23T16:50:00+05:00,2026-04-23T17:20:00+05:00,1800,30 min 0 sec,10
FRG-1::170105-0,FRG-1,170105-0,PIMS,Barakahu,2026-04-23T16:55:00+05:00,2026-04-23T17:25:00+05:00,1800,30 min 0 sec,10
FRG-1::170106-0,FRG-1,170106-0,PIMS,Barakahu,2026-04-23T17:00:00+05:00,2026-04-23T17:30:00+05:00,1800,30 min 0 sec,10
FRG-1::170107-0,FRG-1,170107-0,PIMS,Barakahu,2026-04-23T17:05:00+05:00,2026-04-23T17:35:00+05:00,1800,30 min 0 sec,10
FRG-1::170108-0,FRG-1,170108-0,PIMS,Barakahu,2026-04-23T17:10:00+05:00,2026-04-23T17:40:00+05:00,1800,30 min 0 sec,10
FRG-1::170109-0,FRG-1,170109-0,PIMS,Barakahu,2026-04-23T17:15:00+05:00,2026-04-23T17:45:00+05:00,1800,30 min 0 sec,10
FRG-1::170110-0,FRG-1,170110-0,PIMS,Barakahu,2026-04-23T17:20:00+05:00,2026-04-23T17:50:00+05:00,1800,30 min 0 sec,10
FRG-1::170111-0,FRG-1,170111-0,PIMS,Barakahu,2026-04-23T17:25:00+05:00,2026-04-23T17:55:00+05:00,1800,30 min 0 sec,10
FRG-1::170112-0,FRG-1,170112-0,PIMS,Barakahu,2026-04-23T17:30:00+05:00,2026-04-23T18:00:00+05:00,1800,30 min 0 sec,10
